Collocation,Chinese meaning,Meaning,Sentence
hike in prices,價格上漲,"A sudden, large increase in prices.",This hike in prices will seriously affect our profits.                         
historical dramas,歷史劇,Films or plays based on historical events.,I think historical dramas work particularly well on the big screen.                                      
hit the headlines,登上頭條,To become a major news story.,The scandal is expected to hit the headlines tomorrow.                                                                                                 
hold an emergency meeting,召開緊急會議,"To call a meeting to discuss a sudden, serious problem.",The company decided to hold an emergency meeting to discuss the crisis.        
hold records,保持紀錄,"To keep information, usually on a computer.",Being able to hold records on computer makes it much easier for businesses to keep track of customers and of orders.                                   
hold talks,舉行會談,To have formal discussions.,The government is holding talks with the unions.                                                                                                       
hold/keep their attention,吸引他們的注意力,To maintain the interest of an audience.,Make sure that what you say is at the right level to hold their attention.                               
home ground,主場,The sports ground of a team.,The team is much harder to beat on their own home ground.                                                
home match,主場比賽,A game played on a team's own ground.,I'd rather play a home match than travel for hours to play away.                                         
home-cooked food,家常菜,"Food cooked at home, not in a restaurant.","Whether you want a gourmet meal or just tasty, home-cooked food, there's something for everyone.                                                       "
honour all commitments,信守所有承諾,To do what one has promised to do.,We pride ourselves on our service and honour all commitments to our customers. 
hopelessly lost,完全迷路 / 無可救藥,Completely lost and unable to find the way.,We got hopelessly lost in the desert and a search party had to find us.        
house-warming party,喬遷派對,A party to celebrate moving into a new home.,I hope you'll invite me to your house-warming party.                                                                                                   
huge disappointment,巨大的失望,A very big disappointment.,I failed an exam recently and it was a huge disappointment to me.                                                                                      
huge following,大批追隨者 / 龐大的粉絲群,A large number of fans.,They have a huge following and are due to go on tour later this year.                                                                                  
ideas flow,思緒湧現 / 文思泉湧,Ideas progress easily and without effort.,It was a very successful meeting. The ideas flowed.                                                                                               
illegal substance,非法藥物 / 違禁品,A formal term for an illegal drug.,He was arrested for possessing an illegal substance.                               
implement the scheme,實施計畫,To put a plan or system into operation.,We need a couple of meetings before we can implement the scheme.                   
imposing building,宏偉的建築,A large and impressive-looking building.,The city hall is an imposing building with tall stone columns.                                                 
imposing buildings,宏偉的建築群,Large and impressive buildings.,Then come the imposing buildings of the Parliament and government departments.                                                                    
in fashion,流行 / 時尚,To be popular and fashionable at a particular time.,Vibrant colours are back in fashion this season.                                   
in short supply,短缺 / 供應不足,Not available in large enough quantities.,"They're going cheap right now because everyone is buying digital cameras, which are ridiculously expensive because they are in such short supply. "
in-depth critique,深入的評論,A very detailed examination and judgment.,Your literature review should be an in-depth critique of the most important books. 
in-flight entertainment,機上娛樂,Entertainment provided on a plane.,"Palair offers excellent in-flight entertainment, with the latest films and music.                                                                 "
in-flight magazine,機上雜誌,A magazine provided on a plane.,The in-flight magazine includes maps and information about major airports.                                                                        
incessant noise,沒完沒了的噪音,Noise that never stops.,The incessant noise of the traffic is a real problem here.                                                                                        
incessant roar,持續不斷的轟鳴聲,"A very loud, continuous noise.",The incessant roar of the traffic kept me awake all night.                                                     
incite violence,煽動暴力,To encourage violent behavior.,The speaker was arrested for inciting violence.                                    
inclement weather,惡劣天氣,A very formal term for unpleasant weather.   Lexicographer's Note:  Inclement  collocates almost exclusively with  weather  .,The outdoor event was cancelled due to inclement weather.                          
increase in the number of,...數量的增加,A rise in the quantity of something.,The increase in the number of homeless people is worrying.                                                     
increase output,增加產量,To produce more of something.,The healthy economy has enabled them to increase output.                           
increase steadily/gradually,穩定/逐漸增加,To rise slowly but consistently.,Numbers of mature students have increased steadily/gradually since the 1960s.                                                                     
increasingly anxious,越來越焦慮,Becoming more and more anxious.,Now I'm feeling increasingly anxious that I'll fail the next one.                                                                                 
indelible impression,難以磨滅的印象,A permanent impression that cannot be forgotten.,The film made an indelible impression on me.                                       
industrial zones,工業區,Areas of a town or city for industry.,The industrial zones which lie on the edge of the city are grey and polluted.                                                                     
infectious disease,傳染病,A disease that can be passed from one person to another.,There are a number of infectious diseases that mainly affect children.             
inflict pain,施加痛苦 / 造成疼痛,To make others experience pain.,My ex-boss made my life a misery and seemed to enjoy inflicting pain on his staff.                                                                
inner city,舊城區 / 市中心貧民區,The central part of a city where poorer people live.,"As you drive into the city, the tree-lined avenues of the residential areas are soon replaced by the high-rise flats of the inner city.           "
inordinate amount,過量 / 極大的數量,An excessive or unreasonably large amount.,I drank an inordinate amount of tea while visiting my relatives.                   
intense dislike,強烈厭惡,A very strong feeling of not liking someone or something.,Are you more likely to take an intense dislike to a person or a place?                                         
interactive presentation,互動式簡報,A presentation that involves the audience.,An interactive presentation is a good way to connect with your audience and keep them interested.              
international ones (flights),國際航班,Flights that travel between different countries.,Domestic flights are often more expensive than international ones.                                             
introduce/pass a law,推行/通過法律,To formally create a new law.,A new law has been introduced/passed forbidding the use of mobile phones while driving.                                                           
irreparable damage,無法彌補的損害,Damage that cannot be repaired.,Exhaust fumes from millions of vehicles and the burning of fossil fuels are causing irreparable damage to our environment.                        
issue a statement,發表聲明,To make a formal announcement to the public or media.,"The Minister has issued a statement, saying the claims are unfounded.                                          "
item of news,一則新聞,A single piece of news.,The main item of news today is the earthquake in Broskva City.                                                 
jet-black hair,烏黑的頭髮,Hair that is completely black.,My mother had jet-black hair when she was younger.                                                             
job satisfaction,工作滿意度,A feeling of fulfillment from one's job.,We can offer you job satisfaction and generous benefits.                                
job-share,工作分攤制,A situation where two people share the responsibilities of one full-time job.,"My husband and I do a job-share, which gives us more time with our children. "
join the army,參軍 / 入伍,To become a soldier.,"When war broke out, my grandfather joined the army.                                     "
joint effort,共同努力,Work done by two or more people together.,Completing the project will require a joint effort from the entire team.     
jump to conclusions,妄下結論,To decide something too quickly without having all the facts.,It's unwise to jump to conclusions about people's motives.                   
junk food,垃圾食物,Food that is unhealthy but easy and quick to eat.,Kids eat far too much junk food.                                                        
justly deserves,實至名歸 / 應得的,To be fully worthy of something.,He justly deserves all the rave reviews he will undoubtedly receive.                    
juvenile crime,青少年犯罪,Crime relating to young persons.,"We must tackle the problem of juvenile crime, because that is where the problem begins. "
keen interest,濃厚的興趣,A very strong interest in something.,Ilona has a keen interest in archaeology.                  
keep a close watch on,密切關注,To monitor a situation carefully.,Our reporter in St Pips is keeping a close watch on the situation.  
keep a record,保持記錄 / 記錄下來,To maintain a collection of information about something.,Be sure you keep a record of the source so you can reference it correctly in your work.                        
keep a secret,保守秘密,To not tell a secret to others.,She is not very good at keeping secrets.                            
keep asking,一直問,"To repeatedly ask something, often in an annoying way.",The children keep asking me when we're going to buy a new computer. 
keep in touch,保持聯繫,To maintain contact with someone.,I hope we'll keep in touch when you've gone back to the States.     
keep interrupting,不斷打斷,To repeatedly interrupt someone.,Please don't keep interrupting me when I'm trying to work.          
keep someone on their toes,讓某人保持警惕,To make someone stay active and concentrated.,Having three young children certainly keeps me on my toes. 
keep the peace,維持治安 / 保持平靜,To prevent fighting or disorder.,A UN force has been sent to the area to help keep the peace there.  
keep your eyes peeled,睜大眼睛留意 / 提高警覺,To watch carefully for someone or something.,Keep your eyes peeled for any interesting wildlife.        
keep your temper,忍住性子 / 保持冷靜,To avoid becoming angry.,You find it hard to keep your temper if you think someone is making a fool out of you.                         
keep your word,信守承諾,To do what you promised.,I'm not sure she always keeps her word.                             
key issue,關鍵議題,"A major, important problem or topic for discussion.",Improving the health service is another key issue for government.                                              
key points,關鍵點 / 重點,The most important facts or ideas in a discussion or presentation.,Think about your key points for each area and try to write these in just a few words on the slide.             
kick the habit,戒除惡習,(Informal) To stop a bad habit.,The organisation helps alcoholics who want to kick the habit.       
kill time,打發時間 / 殺時間,To do something to occupy yourself while waiting for something else.,Chess for your laptop or tablet. Great for killing time on a long plane or train journey!                      
land a job,謀得一份工作,An informal way of saying to get a new (and usually good) job.,She was happy to land a job on her local newspaper straight out of university. 
lasting happiness,持久的幸福,Happiness that continues for a long time.,We hope marriage brings you Lasting Happiness.                                                        
lasting impression,持久的印象,An effect or feeling that continues for a long time.,The guest speaker made a lasting impression on the students.                   
launch the campaign,發起活動 / 展開運動,To start a campaign.,The government intends to launch the campaign in the new year.                                        
lavish lifestyle,奢華的生活方式,A very rich and extravagant way of living.,The celebrity was known for his lavish lifestyle.                              
law-abiding societies,守法的社會,Societies in which people generally obey the law.,In law-abiding societies ordinary citizens are usually happy to obey or respect the law.                       
lay off staff,解僱員工 / 裁員,To dismiss employees because there is not enough work for them.,The company had to lay off staff during the recession.                         
lead an expedition,率領探險隊,To be in charge of an expedition.,I think we've chosen the right person to lead the expedition.                                         
leading authorities,權威人士,The most expert or respected people in a particular field.,Her courses were taught by some of the world's leading authorities.            
leaked document,洩露的文件,A confidential document that has been made public without authorization.,A leaked document published in today's Moon makes a number of serious allegations.                             
leave everything to their discretion,全權委託他們處理 / 讓他們自行決定,To give someone the full power to make a decision.,I don't think we should just leave everything to their discretion.             
leave home,離家,To move away from one's family home.,"She left home to go to university, but moving away from her family made her feel homesick.            "
leisurely breakfast,悠閒的早餐,"A relaxed, unhurried breakfast.",We got up late and had a leisurely breakfast.                                                         
leisurely stroll,悠閒的漫步,"A slow, relaxed walk.",We can go for a leisurely stroll around the park later.                                               
lengthy discussion,冗長的討論,A long conversation about a particular topic.,I'm afraid I can't agree to your proposal until I've had a lengthy discussion with everyone involved.          
lessen pain,減輕疼痛,To reduce the severity of pain.,He took some medication to lessen the pain of his headache.                                                    
let me down badly,讓我大失所望,To disappoint someone severely.,I was bitterly disappointed recently when a friend let me down badly.                                 
light meal,輕食 / 便餐,A small meal.,Whether it's a light meal or a substantial meal you're looking for... there's something for everyone. 
"light, airy bedrooms",明亮通風的臥室,Bedrooms that are bright and well-ventilated.,"And there are some lovely light, airy bedrooms which overlook the garden.                             "
literature review,文獻探討,A critical overview of the existing research on a topic.,A key section of your report will be a literature review.                      
live a comfortable life,過著舒適的生活,To have enough money to live without financial worries.,"Now retired, they live a comfortable life.                                     "
live music,現場音樂,Music performed in front of an audience.,I love live music.                                                                                    
live on the streets,露宿街頭,To be homeless.,Children and adults who live on the streets are in desperate need.                                    
lively bar,熱鬧的酒吧,A bar that is full of energy and activity.,The hotel has a lively bar that is popular with both guests and locals.                                        
long overnight journey,漫長的夜間旅程,A journey that takes all night.,"One of them is in Chile, but it's a long overnight journey from the capital to get there.             "
long-running battle,長期抗戰 / 長期爭鬥,A prolonged conflict or disagreement.,He claims that he has been wrongly accused by The Moon because of its long-running battle with the government. 
long-term memory,長期記憶,The ability to remember things from a long time ago.,My long-term memory is terrible these days.                                                           
longed-for sunny spells,渴望已久的晴天,Periods of sunny weather that have been wanted for a long time.,Some longed-for sunny spells have boosted the spirits of the trekkers.         
loosely based on,大致基於 / 改編自,"Connected to something, but not in a detailed or exact way.",The film is loosely based on a nineteenth-century novel.                       
lose any sleep (over something),(為某事)失眠 / 擔心,To worry about something.,"It's not your problem, so I wouldn't lose any sleep over it.                   "
lose contact,失去聯繫,To stop communicating with someone.,I lost contact with all my old school friends.                                                        
lose control,失去控制,To no longer be in charge of a situation.,The government has lost control of the area.                                                          
lose my patience,失去耐心,To become angry.,Finally I lost my patience and shouted at her.                                                        
lose your balance,失去平衡,To become unsteady and fall over.,I lost my balance and fell off my bike.                                                                        
lose your footing,失足 / 站不穩,To slip and fall.,I lost my footing and fell down the bank into the river.                                              
lose your nerve,失去勇氣 / 膽怯,To become too frightened to do something.,At the last moment the Olympic ski jumper lost his nerve and did not take part in the competition.    
lose your temper,發脾氣,To suddenly become very angry.,You tend to lose your temper too easily.                                                                       
love at first sight,一見鍾情,Falling in love with someone the first time you see them.,It was love at first sight.                                                                           
love of your life,一生摯愛,The person you love more than any other.,Do you think it is possible to have one person who is the love of your life?                                   
lucrative job,收入優渥的工作,A job that pays a lot of money.,Stage acting may not be a particularly lucrative job.                                                          
luxury hotel,豪華飯店,A very high-quality and expensive hotel.,The Palace is a luxury hotel on the main square of Porto Alegre.                                      
main item of news,主要新聞 / 重點新聞,The most important news story of the day.,The main item of news today is the earthquake in Broskva City.                               
maintain eye contact,保持眼神接觸,To keep looking at someone's eyes while talking to them.,Don't maintain eye contact with one person for too long!                                     
major problem,主要問題 / 重大問題,A significant and serious difficulty.,Unemployment is a major problem for the government at the moment.                            
make a big impact,產生巨大影響,To have a powerful effect.,Bloom are already making a big impact.                                                             
make a breakthrough,取得突破,To make an important discovery or achieve significant progress.,James has made a breakthrough in his maths this year.                                        
make a choice,做出選擇,To choose something.,Jill had to make a choice between her career and her family.                                       
make a comment,發表評論,To say something about a topic.,Would anyone like to make any comments on the talk?                                                
make a commitment,做出承諾,To make a promise to do something.,They made a commitment to one another and to their children.                                       
make a contribution to,對...做出貢獻,To add something useful to a situation.,She made a useful contribution to the discussion.                                                  
make a decision,做出決定,To decide on something.,"I'm glad it's you who has to make the decision, not me.                                            "
make a detour,繞道 / 繞路,To take a different or indirect route.,"Several roads were closed, so we had to make/take a detour.                                        "
make a difference,產生影響 / 造成差異,To have a significant effect on a person or situation.,Volunteering at the shelter really helped me feel like I could make a difference.            
make a habit of,養成...的習慣,"To begin to do something regularly, often without thinking about it.",It's a good idea to make a habit of switching off the lights when you leave a room. 
make a living,謀生,To earn enough money to live.,It's not easy to make a living as an actor.                                         
make a mistake,犯錯,To do something incorrectly.,The waiter must have made a mistake.                                                               
make a phone call,打電話,To call someone on the phone.,I have to make a phone call.                                                                       
make a point,表達觀點 / 強調一點,To state an opinion or piece of information with particular emphasis.,Jones makes the point that motivation is the key factor in most learners' success.           
make a profit/loss,獲利/虧損,To earn more money than is spent (profit) or spend more than is earned (loss).,Our company made a loss last year.                                                           
make a proposal,提出建議 / 提案,To make a formal suggestion.,"As no one else has any ideas, I'd like to make a proposal.                          "
make a reservation,預約 / 訂位,To book something in advance.,I'd advise you to make a reservation before you go.                                                
make a speech,演講,To speak in public.,Whenever I make a speech I always try to get to the point as quickly as possible.                  
make a stand against,堅決反對 / 抵抗,To protest about something one disagrees with.,We must make a stand against the new housing development.                           
make a start,開始,To begin doing something.,"It's two o'clock. Let's make a start / get started, shall we?                                      "
make a success of,使...成功,To be successful in something.,I hope that they'll make a success of their new restaurant business.                
make an acquaintance,結識某人,A formal way of saying to get to know someone.,I first made his acquaintance when he moved in next door.                           
make an early escape,早點溜走,To leave a social event early.,"I have to go to a party, but I will try and make an early escape.                   "
make an effort,努力,To try hard to do something.,Joe is really making an effort with his maths this term.                                           
make an excuse,找藉口,To give a reason for not doing something.,I'm too tired to go out tonight. Let's make an excuse and stay at home.                            
make an impact,產生影響,To have a strong effect on someone or something.,Clear visual aids are a great way to make an impact on your audience.                        
make an important discovery,做出重大發現,To find or learn something significant and new.,Our research team has made an important discovery.                                  
make an improvement,做出改善,To make something better.,We are trying to make improvements to the system for registering.                                  
make an offer,報價 / 提出要約,"To propose a price for something, like a house.",The house is just what we want and we've decided to make an offer on it.            
make arrangements for,為...做安排,To plan for something.,The school can make arrangements for pupils with special needs.                                    
make changes,做出改變,To alter something.,The new manager is planning to make some changes.                                                  
make eye contact,眼神接觸,To look directly into someone's eyes.,You should make eye contact with about five or six different people.                         
make friends,交朋友,To form friendships with people.,You will soon make new friends there.                                                              
make headlines,登上頭條,To become a major news story.,The latest royal scandal is sure to make headlines.                                                
make progress,取得進步,To improve or develop.,He's making good progress at school.                                                               
make several attempts,嘗試好幾次,To try to do something multiple times.,The team made several attempts to climb the mountain before they succeeded.         
make snap decisions,倉促決定,"To make decisions quickly, without careful thought.",You have a tendency to make snap decisions.                                                  
make yourself at home,把這裡當自己家 / 別客氣,To relax and make yourself comfortable.,Come in and make yourself at home while I finish getting dinner ready.                             
manageable chunks,易於處理的區塊,"Small, easy-to-handle pieces of a larger task.","Break the task down into small, manageable chunks.                                  "
marked improvement,顯著的改善,A clear and noticeable improvement.,There was a marked improvement in Peter's work last year.                           
market forces,市場力量 / 市場機制,Economic factors that influence price levels without government intervention.,Market forces have caused many factories to close as businesses move overseas.               
masses away,差得很遠 / 離很遠,An informal expression meaning to give away a lot of things.,We had a bumper crop of tomatoes and gave masses away to our neighbours.            
massive hit,巨大的成功 / 轟動,An extremely successful song or album.,"After their massive hit in 2004 with Megalith, their record company has released this CD.          "
massive overdose,嚴重服藥過量,A dangerously large amount of a drug.,The rock star died from a massive overdose of barbiturates.                         
mature students,成年學生 / 高齡學生,Older students who return to education after a period of time.,They hope to complete a degree as mature students.                                  
meet the deadline,趕上截止日期,To complete a task by the required time or date.,Katharina Bauer is used to working under stress and meeting deadlines.                       
meet the entry requirements,符合入學要求,To have the necessary qualifications to enter a university or course.,He will not meet the entry requirements for the university course.                  
meet the requirements,符合要求,To fulfill the necessary conditions.,He's afraid he won't meet the requirements for university entry.                                   
mental agility,思維敏捷,The ability to think quickly and clearly.,Amelia's teachers identified her as having remarkable mental agility.               
meteoric rise to fame,一夜成名 / 迅速竄紅,A very rapid and sudden achievement of fame.,The actress enjoyed a meteoric rise to fame in the 1990s.                           
mildly surprised,有點驚訝,Slightly surprised.,The CEO said he was mildly surprised by the public interest in the firm's plans.    
milestone passed,通過里程碑,An important life event or achievement completed.,"With this milestone passed, Joe will turn his thoughts to buying his first home.    "
mind went blank,腦袋一片空白,To be unable to remember something.,My mind went blank.                                                                                
mindless vandalism,無理智的破壞行為,Destruction of property for no reason.,Police have reported a staggering increase in the number of acts of mindless vandalism.            
miscarriage of justice,審判不公 / 誤判,A situation where an innocent person is found guilty.,There have been a couple of serious miscarriages of justice recently.               
missed her connecting flight,錯過轉機航班,To arrive too late to catch a subsequent flight.,She missed her connecting flight in Amsterdam.                                                     
missed the point,沒抓到重點 / 誤解意思,To fail to understand what is really important.,The President's speech was disappointing as it totally missed the point.                           
mitigating circumstances / factors,減刑情節 / 緩和因素,Factors that make a crime seem less serious.,"Due to mitigating circumstances, the judge gave him a lighter sentence.             "
mounting anger,怒氣高漲,Growing anger.,There is mounting anger over the new tax.                                                          
movable feasts,移動的節日 (如復活節),Events or appointments where the date is flexible.,Different religions often have movable feasts which depend on the moon.             
move house,搬家,To move to a new home.,Jack is going to change jobs next year so they'll have to move house.                              
move into a flat,搬進公寓,To start living in a new flat.,Are you looking to move into a flat or house next term?                                            
move out,搬出去,To leave the place where you live.,Next week I have to move out of my flat.                                                     
muffled sound,悶悶的聲音 / 低沈的聲音,A sound that is quieter or less clear.,We could hear the muffled sound of music from the flat above us.                                   
musical heritage,音樂遺產 / 音樂傳統,The tradition of music from a particular culture or country.,This collection of popular British classical music...aims to...promote Britain's musical heritage. 
musical talent,音樂天賦,A natural ability in music.,He's got no musical talent whatsoever.                                                             
mutual friends,共同朋友,Friends that you share with someone else.,We met through mutual friends at a party.                                                    
nail-biting finish,扣人心弦的結局 / 緊張刺激的結尾,A very exciting and tense end to something.,Claude Roux won the championship yesterday in a nail-biting finish.                   
narrow profit margins,微薄的利潤率,When the difference between the cost and the selling price of a product is small.,It's a challenge for us as we already operate on narrow profit margins.           
natural disasters,自然災害,"Events such as floods, earthquakes, or hurricanes that cause great damage.","We call these natural disasters, but it is human beings who are causing them.                     "
navigate websites,瀏覽網站,To find your way around a website.,Good web design is making it easier to navigate websites.                             
needless to say,不用說 / 當然,Obviously; it goes without saying.,"Needless to say, the workers voted in favour of the wage increase.                "
neighbourhood watch schemes,守望相助計畫,Programs where residents in an area cooperate to prevent crime.,It would be good if more neighbourhood watch schemes could be introduced.         
news comes in,消息傳來,News arrives or is reported.,News has just come in of an earthquake.                                               
news leaks out,消息走漏,Secret information becomes known.,"Although the two stars tried to keep their affair secret, news of it soon leaked out. "
no-go area,禁區 / 危險區域,"An area that is dangerous for people to enter, often due to crime or conflict.",That part of the city is a no-go area after dark.                                                 
nominated for an Oscar,獲得奧斯卡提名,Put on the official list of people who may receive an Oscar.,My dream is to make a film that would be nominated for an Oscar.                      
notify the police,通知警方,A formal way of saying to officially inform the police.,The victim was asked why he had not notified the police sooner about the mugging. 
nourishing meals,營養豐富的餐點,Meals which make you healthy and strong.,It's hard to get them to eat nourishing meals.                                        
noxious fumes,有毒煙霧,Harmful or poisonous gases.,The factory was closed for releasing noxious fumes into the atmosphere.                           
obey the law,遵守法律,(Less formal) To do what the law says.,People who refuse to obey the law should be punished.                                               
observe the festival,慶祝節日,To celebrate or take part in a festival.,"This month, some of our students are observing the festival of Ramadan.    "
observe the law,遵守法律,(Formal) To obey the law.,We must all observe the law at all times.                                                           
occasional twinge,偶爾的陣痛,"A slight, intermittent ache or pain.",He says he doesn't feel his age except for the occasional twinge.          
odd numbers,奇數,"Whole numbers that cannot be divided by two (e.g., 1, 3, 5).",51 is an odd number – 50 is an even number.                                                       
off-road parking,路外停車 / 私人停車位,"Parking that is not on a public road, such as in a driveway or garage.","We live on a busy road, but we're lucky because we have off-road parking.                         "
offer any resistance,進行任何抵抗,To fight back against someone or something.,The bank robbers didn't offer any resistance when the police surrounded them.                       
offer constructive criticism,提供建設性的批評,To provide feedback that is helpful and intended to improve something.,A good manager will offer constructive criticism to their team.            
offer my congratulations,表達我的祝賀,To congratulate someone.,I have nothing but praise for this production of Dogs and offer my congratulations to all the cast. 
offer someone a job,提供某人工作,To formally ask someone to accept a position of employment.,"After a successful interview, the company decided to offer her the job.                           "
offer supporting evidence,提供佐證,To provide evidence to support a claim.,You cannot expect your claim to be accepted if you cannot offer supporting evidence.                
offer your congratulations,表達你的祝賀,To formally congratulate someone.,I have nothing but praise for this production and offer my congratulations to all the cast.       
offshore wind farms,離岸風力發電場,A group of wind turbines built at sea to generate electricity.,Offshore wind farms can provide a partial solution to our energy problems. 
on foot,步行,By walking.,Cathy always preferred to go places on foot rather than driving.                                  
one-room flat,套房公寓 / 單間公寓,A small flat with only one main room.,I'd love to move out of my awful one-room flat.                                                     
open fields,開闊的田野,Fields uninterrupted by woods or houses.,At home it's a gentle landscape with open fields.                                                   
open fire,壁爐明火 / 開火,To start shooting.,They saw him and opened fire but he was able to escape.                                             
openly accuse,公開指控,To accuse someone of wrongdoing publicly and directly.,The article openly accuses the Minister of corruption.                                            
opportunity of a lifetime,千載難逢的機會,A unique and valuable chance.,That sounds like the opportunity of a lifetime!                                                     
option open to us,我們可選擇的方案,A choice that is available.,"Realistically, it's the only option open to us.                            "
organic food,有機食品,Food produced without artificial chemicals.,They have a big organic food section.                                                               
outgoing personality,外向的個性,A friendly and sociable character.,"My boyfriend has a really friendly, outgoing personality.                                           "
outright hostility / opposition,公然的敵意 / 反對,Complete and open hostility or opposition. Can be used with verbs like declare (declare outright opposition) or adjectives like open (open hostility).,He declared his outright opposition to the plan.                           
outstanding performance,傑出的表現,An excellent performance.,"James King, in particular, gave an outstanding performance.                                         "
outward journey,去程旅途,The journey to a destination.,The opposite of return journey is outward journey.                                                  
over-priced restaurants,價格過高的餐廳,Restaurants that are too expensive for the quality they offer.,"The tourist area is full of upmarket shops and rather pricey, sometimes over-priced, restaurants. "
over-sensitive,過於敏感,Too easily upset or offended.,Or am I just being ridiculously over-sensitive?                                                     
overcrowded trains,擁擠的火車,Trains that are uncomfortably full of people.,"I live in a commuter town, and overcrowded trains are normal.              "
overpowering stink,令人窒息的惡臭,A very strong and unpleasant smell.,The bins had not been collected for weeks and there was an overpowering stink.                    
overwhelming majority,壓倒性多數,A very large majority of people.,An overwhelming majority of the population are in favour of the reform.    
ozone layer,臭氧層,The layer of ozone gas in the upper atmosphere that protects from solar radiation.,We must accept that we have seriously depleted the ozone layer.                                   
pace up and down,來回踱步,To walk back and forth in a small area.,Today she was surprised to see a man pacing up and down beside the lake.                                
painfully shy,極度害羞 / 非常靦腆,Extremely shy to a degree that causes discomfort.,Although you can be painfully shy in social situations...                                         
painfully slow,慢得痛苦 / 極慢,Extremely slow.,"I'm trying to learn the violin, but my progress is painfully slow.                                      "
pang of nostalgia,一陣懷舊之情 / 湧起鄉愁,"A sudden, sharp feeling of longing for the past.",I felt a pang of nostalgia when I saw the old photos of the village where I grew up.              
panoramic view,全景 / 全貌,A view over a very wide area.,From the top floor restaurant diners have a panoramic view of the countryside.                          
pass an exam,通過考試,To be successful in an examination.,"James has done very well this year, passing his exams without any problems.                       "
pass up the opportunity,放棄機會,To not take advantage of an opportunity.,I can't believe you're going to pass up the opportunity of a trip to South America.                     
passionate entreaty,懇切的請求,A request made because of strong beliefs.,"The plans went ahead, despite passionate entreaties from local residents.                "
patches of fog,局部有霧 / 零星霧氣,Small areas of fog.,There are patches of fog on the east coast but these should lift by midday.                             
pavement cafes,露天咖啡座,Cafes with tables outside on the pavement.,The pavement cafes and shops of Luna Square are pleasant but very expensive.                            
pay a compliment,讚美 / 恭維,To say something nice to someone.,I was trying to pay her a compliment but she misunderstood.                                             
pay attention,專心 / 注意,To listen to or watch carefully.,You must pay attention to the teacher.                                                                  
pay dividends,得到回報 / 產生效益,To bring advantages or benefits in the future.,Hard work now will pay dividends when you take your exams.                               
pay tribute,致敬,(Formal) To praise someone or something publicly to show respect.,"When Jack retired, his boss made a speech paying tribute to all he had done for the company.      "
pay your (last) respects,(最後)致意 / 弔唁,"To show respect for someone who has died, often at a funeral.",At a funeral people pay their last respects to the person who has died.                                 
peaceful/tranquil countryside,寧靜的鄉村,Quiet countryside.,It's a very peaceful/tranquil village.                                                                  
penalty kick,罰球 / 十二碼,"In football, a free shot at the goal awarded for a foul in the penalty area.",The referee awarded a penalty kick in the final minute of the game.                               
pending the results,等待結果,A formal way of saying waiting for the results of something.,"He will qualify fully in July, pending the results of his lesson assessments.            "
pent-up anger,被壓抑的憤怒,Anger that has not been expressed.,He always seemed full of pent-up anger towards the world.                                
perfect end,完美的結局,An ideal conclusion to something.,The meal we had on our last evening in Istanbul was a perfect end to our holiday.                       
perfect example,完美的例子 / 典範,An ideal illustration of a particular point or quality.,The events of 1954 are a perfect example of how political leaders make misjudgements.             
perishable food,易腐壞的食物,Food which goes bad quickly.,The restaurant was leaving perishable food lying round outside the fridge.                              
permanent job,永久性工作 / 鐵飯碗,"A job done on a long-term basis, not temporary.","After months of temporary work, he finally found a permanent job.                                 "
petty crime,輕罪,Crime that is not considered very serious.,Whether it is petty crime or more serious offences.                                                     
pick up speed,加速,To begin to move faster.,"As it left the city, the train picked up speed.                                                   "
pick your way cautiously,小心翼翼地走,To walk carefully across a dangerous or difficult area.,She picked her way cautiously along the icy pavement.                                                   
picturesque location / town,風景如畫的地點/城鎮,A visually attractive and charming location or town.,Their new home was in a very picturesque location by the sea.                            
piercing cry,刺耳的尖叫,A very high-pitched and loud cry.,"Suddenly, a piercing cry broke the silence of the night.                                          "
