Phrases,Meaning,English Sentence,Chinese Sentence
stand out,醒目,Her bright red dress made her stand out in the crowd.,她那件鮮紅的裙子使她在人群中很突出。
stand over,監督,The teacher had to stand over the student to ensure he finished his work.,老師不得不在一旁監督學生，以確保他完成作業。
stand up,站起來；起立,Please stand up when the teacher enters the room.,老師進房間時請站起來。
stand up for,維護 支持,She stood up for her friend in the argument.,她在爭論中為她的朋友挺身而出。
stare at,注視,It's rude to stare at people in public.,在公共場合凝視別人是很不禮貌的。
start off,開始；出發,Let's start off with a quick introduction.,讓我們先做一個簡短的介紹。
start over,重新開始,"I made a mistake, so I had to start over.",我犯了一個錯誤，所以我必須重新開始。
state-of-the-art,高級的、先進的,The laboratory is equipped with state-of-the-art analytical instruments.,該實驗室配備了最先進的分析儀器。
stay out,在外逗留，不回家,Stay out of trouble while I'm gone.,當我不在時，別惹麻煩。
stay up,熬夜,My kids are not allowed to stay up past ten on school nights.,我的孩子在上學日不允許熬夜超過十點。
stem from,源於,A lot of relationship issues stem from financial problems.,許多人際關係問題源於財務問題。
step down,辭職,The CEO decided to step down after ten years at the company.,執行長決定在公司任職十年後辭職。
step in,介入,The government had to step in to stabilize the failing bank.,政府不得不介入來穩定這家瀕臨倒閉的銀行。
step up sth,使某事加速，使某物增加,We need to step up our efforts to solve this problem.,我們需要加強努力來解決這個問題。
stick around,逗留,Do you want to stick around for a while and watch the fireworks?,你想待一會兒看看煙火嗎？
stick to,堅持；遵守,Let's stick to the original plan.,讓我們堅持原計劃。
stick with,保持,"It's important to stick with your goals, even when it gets tough.",堅持你的目標是很重要的，即使情況變得艱難。
stop by,順道拜訪 ,Let's stop by the bakery on our way home.,我們在回家路上順道去麵包店吧。
strike a deal with,與…達成協,The two parties managed to strike a deal with each other after weeks of negotiation.,經過數週的談判，雙方設法達成協議。
struck someone,令某人印象深刻,The painting immediately struck me as incredibly beautiful.,這幅畫立刻讓我感覺美得不可思議。
substitute for,用…代表,"Since the coffee machine is broken, we had to substitute instant coffee for it.",由於咖啡機壞了，我們不得不用即溶咖啡來代替它。
succeed in,成功,"If you work hard, you will succeed in achieving your dreams.",如果你努力工作，你將會成功地實現你的夢想。
succeed to,繼承,Prince William is next in line to succeed to the throne.,威廉王子是下一個繼承王位的人。
succumb to,屈服於…,He finally succumbed to the temptation of eating chocolate.,他最終屈服於吃巧克力的誘惑。
such as,如;例如,The money is used to buy basic foods such as flour rice and pasta.,這筆錢用於購買基本食品，例如麵粉，米和麵食。
sum up,總結；概括,He summed up the meeting in a few sentences.,他用幾句話總結了會議。
switch off,關掉；切斷,Don't forget to switch off the lights before you leave.,離開前別忘了關燈。
take advantage of,利用、佔…便宜,You should take advantage of the gym membership while it's cheap.,你應該利用健身房會員資格，趁它還便宜的時候。
take after,與…相似,She takes after her mother; they both have red hair.,她長得像/像她的母親；她們都有紅髮。
take apart,拆開、仔細檢查,The mechanic had to take apart the engine to find the problem.,機械師不得不拆開引擎來尋找問題。
take away,拿走；帶走,The waiter took away our plates.,服務生把我們的盤子拿走了。
take back,收回；取回,I take back what I said about her. She is very nice.,我收回對她的話。她很不錯。
take care of,照顧,She stayed home to take care of her sick mother.,她留在家裡照顧生病的母親。
take charge of,負責,The new supervisor will take charge of the entire department.,新主管將負責整個部門。
take down,記下；取下,Can you take down this information?,你能記下這些信息嗎？
take in,吸收；理解,It was a lot of information to take in at once.,一下子吸收這麼多信息很難。
take initiative,帶頭發起,He decided to take the initiative and start organizing the event.,他決定採取主動，開始組織這項活動。
take into account,考慮到…,"When budgeting, we must take into account all potential hidden costs.",在編列預算時，我們必須考慮到所有潛在的隱藏成本。
take note of,注意,Please take note of the changes in the meeting schedule.,請留意會議時間表的變動。
take off,起飛  ,The plane is scheduled to take off at 8:00 AM.,飛機預定在早上八點起飛。
take on,承擔、接受,She is hesitant to take on any more responsibilities right now.,她現在不願再承擔更多的責任。
take one’s chances,碰運氣,"The weather looks bad, but we decided to take our chances and go hiking anyway.",天氣看起來很糟，但我們決定冒險去徒步旅行。
take one’s time,慢慢來,Don't rush; please take your time answering the questions.,別著急；請慢慢來回答問題。
take one’s word,相信某人的話,"I trust him completely, so I'll take his word for it.",我完全信任他，所以我會相信他的話。
take out,取出；帶⋯出去,She took out a loan to pay for her car.,她貸款買了車。
take over,接管,The new CEO will take over the company next month.,新任執行長將於下個月接管公司。
take part in,參加,She took part in the competition and won first prize.,她參加了比賽並贏得了第一名。
take place,舉行,The annual conference will take place in London this year.,年度會議今年將在倫敦舉行。
take steps,採取措施,We need to take steps to prevent this mistake from happening again.,我們需要採取措施來防止這個錯誤再次發生。
take sth back,收回(不該說的話),I need to take the shirt back to the store.,我需要把襯衫退回商店。
take sth for granted,視某事為理所當然,Don't take your health for granted.,不要把你的健康視為理所當然。
take up,佔用,He decided to take up painting as a new hobby.,他決定開始學習繪畫作為一項新的嗜好。
talk over,討論,Let's talk over the details of the project.,讓我們討論一下項目的細節。
talk to,與⋯交談,She talked to her friend about the problem.,她與朋友談論了這個問題。
talk with,與⋯交談,He talked with his manager about a raise.,他與經理談論了加薪的事。
tear apart,撕裂,The scandal threatened to tear apart the entire political party.,這場醜聞威脅要分裂整個政黨。
tear away,撕裂,It was hard to tear the children away from the toys.,很難將孩子們拉開玩具。
tear down,拆掉,They plan to tear down the old shopping mall and build a park.,他們計劃拆除舊商場並建造一座公園。
tear off,撕掉；迅速脫掉,He tore off the wrapping paper excitedly.,他興奮地撕掉了包裝紙。
tear up,撕毀；流淚,She tore up the contract in anger.,她氣憤地撕毀了合同。
tell off,斥責,The teacher told off the students for being late.,老師斥責了遲到的學生。
tell sb off (for doing sth),(因某事)訓斥某人，斥責某人,His teacher told him off for being late.,他的老師因為他遲到而訓斥他。
the upper hand,優勢,She has the upper hand in the negotiations.,她在談判中佔上風。
think over,仔細考慮,I'll think over your proposal and get back to you.,我會仔細考慮你的提議，然後答覆你。
think through,徹底考慮,We need to think through this plan before we proceed.,在進行之前，我們需要徹底考慮這個計劃。
think up,想出,Can you think up a solution to this problem?,你能想出一個解決這個問題的辦法嗎？
throw away,丟棄,Don't throw away those papers; they are important.,不要丟掉那些文件；它們很重要。
throw one’s effort into,為…盡力,She decided to throw all her effort into studying for the final exam.,她決定投入所有精力準備期末考試。
throw out,丟掉,I need to throw out these old newspapers I've collected.,我需要扔掉這些我收集的舊報紙。
throw up,嘔吐；匆匆建造,He felt sick and had to throw up.,他感到不舒服，不得不嘔吐。
tidy up,整理,Please tidy up your room before your guests arrive.,請在客人來之前整理你的房間。
tie up,綁；忙於,She tied up the package with string.,她用繩子把包裹綁起來。
to put in service,啟用,The new equipment will be put in service next month.,新設備將於下個月投入使用。
to serve as,當；作為,He will serve as the company's new CEO.,他將擔任公司的新CEO。
to sum up,總而言之,"To sum up, we had a very productive meeting.",總結一下，我們進行了一次非常有成效的會議。
to the extent of,到了…的程度,Bill loves Ann to the extent of being willing to die for her.,Bill愛Ann，甚至到了願意為她而死的程度。
tons of,很多的,We have tons of work to do before the end of the week.,我們在本週末前有大量/很多工作要做。
top-of-the-line,高級的、先進的,We only sell top-of-the-line computers with the best features.,我們只銷售功能最好的頂級電腦。
toss-up,勝負各半,It's a toss-up between the two candidates; they both seem equally qualified.,兩位候選人難分伯仲/勢均力敵，他們看起來都同樣合格。
touch down,著陸,We watched as the aircraft touched down smoothly on the runway.,我們看著飛機平穩地降落在跑道上。
try on,試穿,She tried on several dresses before deciding on one.,她試穿了好幾件裙子，最後決定了一件。
try out,試用、試驗,She decided to try out for the school basketball team.,她決定參加學校籃球隊的選拔。
turn around,轉身；好轉,He turned around when he heard his name.,聽到名字時，他轉過身來。
turn away,驅逐、解僱,"The restaurant was full, so they had to turn away several customers.",餐廳客滿了，所以他們不得不拒絕了幾位顧客。
turn down,拒絕,He had to turn down the job offer because the pay was too low.,他不得不拒絕這份工作邀請，因為薪水太低了。
turn in,遞交、調整（收音機）,Remember to turn in your assignments before the deadline.,記得在截止日期前繳交你的作業。
turn into,變成,The caterpillar turned into a butterfly.,毛毛蟲變成了蝴蝶。
turn off,關掉,Please turn off the lights when you leave.,離開時請關燈。
turn on,出現,Please turn on the lights; it's getting dark in here.,請打開燈；這裡面開始變暗了。
turn out,生產、結果是…,The party turned out to be a huge success.,派對結果非常成功。
turn out to be,結果是 / 竟然是......,The news turned out to be true.,這則新聞原來是真的。
turn to,尋求協助,"When facing problems, I always turn to my parents for advice.",當面臨問題時，我總是求助於我的父母尋求建議。
turn up,出現,Don’t worry about the exam. Just turn up on time and do your best.,不用擔心考試。 只要準時出現，盡你所能就好。
up and down,起伏的,I walked up and down the aisle looking for the right product.,我在走道上來回地走動，尋找合適的產品。
up in the air,不確定的,The final location of the wedding is still up in the air.,婚禮的最終地點仍然懸而未決/未確定。
up-and-coming,有前途的、引人注目的,She is an up-and-coming artist with a lot of potential.,她是一位極具潛力的嶄露頭角的藝術家。
up-and-running,運作中的,The new server should be up and running by tomorrow morning.,新伺服器應該會在明天早上啟動並運行。
use up,用完；耗盡,We have used up all the milk.,我們把牛奶用完了。
vary with,隨…變化,"Average income varies with age, occupation, and industry.",平均收入因年齡、職業和產業別而有所不同。
vulnerable to,容易遭受…,Elderly people are particularly vulnerable to the flu virus.,老年人特別容易受到流感病毒的侵害。
wake up,醒來；喚醒,I wake up at 6 AM every day.,我每天早上6點醒來。
ward off sth,防止(疾病、危險等),Garlic is believed to ward off vampires.,大蒜被認為可以避開吸血鬼。
wash up,洗碗；洗手,Please wash up before dinner.,晚飯前請洗手。
watch out,注意；小心,Watch out for the slippery floor.,注意地板很滑。
watch over,保護;照顧,Sandy’s father is home during the day so he can watch over the kids for her.,Sandy的父親白天在家，所以他可以幫她照顧孩子。
wave down,招手停車,We had to wave down a taxi since we couldn't find a bus stop.,因為找不到公車站，我們不得不招手叫停一輛計程車。
wear out,磨耗、磨損,Running shoes tend to wear out very quickly if you use them every day.,如果你每天使用跑鞋，它們往往會很快磨損。
what's more,再者；而且,"The job is well-paid. What's more, it is close to my home.",這份工作薪水很好。而且，它離我家很近。
when it comes to,說到…,"When it comes to cooking, he is definitely the expert.",說到烹飪，他絕對是專家。
wind up Ving,以...作結，落得...,"If you keep lying, you will wind up losing all your friends.",如果你繼續說謊，你最終會失去所有朋友。
wire money to,匯款到…,I need to wire money to my sister who is studying abroad.,我需要匯款給在國外讀書的妹妹。
with a view to,目的是;為了,He studied English hard with a view to mastering it quickly.,他努力學習是為了快速掌握英語。
with an eye to (doing) sth,試圖...，目的在於...,He saved money with an eye to buying a house.,他存錢是為了將來買房。
with respect to,關於,It's going to raise problems with respect to water pollution.,這將引起有關水污染的問題。
within reach,觸手可及的,"Always keep dangerous chemicals within reach of children. (Note: Should be ""out of reach"")",務必將危險化學品放在兒童夠得著的範圍內。
without further ado,話不多說,"And now, without further ado, here is our guest speaker.",那麼，事不宜遲，有請我們的演講嘉賓。
work around,避開…來做,We'll have to work around the strict budget to finish the project.,我們必須繞過/克服嚴格的預算來完成這個專案。
work on,致力於；從事,She is working on a new project.,她正在從事一個新項目。
work out,鍛煉；解決,I work out at the gym every morning.,我每天早上在健身房鍛煉。
work sb's fingers to the bone,長期地拚命工作,He worked his fingers to the bone to provide for his family.,他拼命工作以養家。
work sb's tail off,拚命工作,She worked her tail off to meet the deadline.,她拼命工作以趕上最後期限。
work through,克服；解決,We need to work through this problem together.,我們需要一起解決這個問題。
wrap up,完成、收尾,Let's try to wrap up the meeting in the next ten minutes.,讓我們試著在接下來的十分鐘內結束會議。
write down,寫下,Please write down your name and address.,請寫下你的名字和地址。
write up,詳細寫出,He wrote up the report after the meeting.,他在會後寫了報告。
yield to,屈服；讓步,She refused to yield to pressure.,她拒絕屈服於壓力。
zero in on,瞄準；集中於,They quickly zeroed in on the problem.,他們很快集中解決了這個問題。
