phrase/word,meaning,english sentence,chinese sentence,
to put someone on the map,讓...出名；讓...佔有一席之地,That movie really put the actor on the map.,那部電影真的讓這位演員一舉成名。,
to shout it from the rooftops,大聲宣揚；讓全世界知道,I'm so happy I want to shout it from the rooftops!,我太開心了，恨不得讓全世界都知道！,
to vanish into thin air,憑空消失；無影無蹤,The magician made the rabbit vanish into thin air.,魔術師讓兔子憑空消失了。,
tone deaf,搞不清楚狀況；不識相；(公關) 災難,His comments were completely tone deaf to the public mood.,他的評論完全沒搞清楚大眾的情緒。,
top-notch,頂尖的；一流的,The service at this hotel is absolutely top-notch.,這家飯店的服務絕對是一流的。,
touch grass,(網路用語) 出去走走；回歸現實 (諷刺人沈迷網路),"You've been online all day, you need to go touch grass.",你整天都在上網，該出去走走回歸現實了。,
tough it out,硬著頭皮撐下去,"The training was hard, but he decided to tough it out.",訓練很艱苦，但他決定硬著頭皮撐下去。,
tread on someone's toes,得罪人；侵犯他人權限,"I want to help, but I don't want to tread on anyone's toes.",我想幫忙，但我不想得罪人或越權。,
tug at the heartstrings,觸動心弦；令人感動,The movie's ending really tugged at the heartstrings.,電影的結局真的觸動了我的心弦。,
turn over a new leaf,改過自新；展開新頁,"After the incident, he promised to turn over a new leaf.",事件過後，他承諾要改過自新。,
twiddle your thumbs,無所事事；閒得發慌,I was just sitting there twiddling my thumbs waiting for the meeting to start.,我只是坐在那裡無所事事，等著會議開始。,
twig,突然明白；頓悟,It took him a while to twig that we were planning a surprise party.,他過了好一陣子才突然明白我們在籌劃驚喜派對。,
twist someone's arm,強迫；硬要某人做,"I didn't want to go, but he twisted my arm.",我本來不想去，但他硬要我去。,
under your breath,小聲嘀咕；低聲說,He muttered something under his breath that I couldn't hear.,他低聲嘀咕了一些我聽不到的話。,
up to my eyes in,忙得不可開交；深陷於...,I'm up to my eyes in paperwork right now.,我現在被文書工作忙得不可開交。,
up your game,提升表現；精進技能,You need to up your game if you want to win.,如果你想贏，就得提升你的表現。,
vanilla,普通的；乏味的；保守的,His taste in music is very vanilla.,他的音樂品味非常普通乏味。,
vibe,氛圍；感覺,This place has a really chill vibe.,這個地方的氛圍很放鬆。,
waffle on,胡扯；喋喋不休 (講沒重點的話),Stop waffling on and get to the point.,別再胡扯了，講重點。,
walk someone through,一步步引導；詳細解說,Can you walk me through the installation process?,你能一步步引導我完成安裝過程嗎？,
warts and all,包含所有缺點；毫無保留,"I love him, warts and all.",我愛他的一切，包含他的所有缺點。,
wet weekend,掃興的人/事；沈悶的時光,His face was as miserable as a wet weekend.,他的臉色像陰雨的週末一樣悲慘/掃興。,
whizz-kid,神童；天才少年,The company hired a computer whizz-kid to fix their security.,公司雇了一位電腦神童來修復他們的安全系統。,
wiggle room,迴旋餘地；彈性空間,The price is fixed; there is no wiggle room.,價格是固定的，沒有議價空間。,
willy-nilly,隨意地；雜亂無章地,You can't just throw clothes into the suitcase willy-nilly.,你不能就這樣隨意地把衣服亂塞進手提箱。,
win hands down,輕易獲勝；贏得輕鬆,Our team will win hands down if we play like this.,如果我們這樣打，絕對能輕易獲勝。,
wing it,即興發揮；臨時抱佛腳,"I didn't prepare for the speech, so I'll just have to wing it.",我沒準備演講，所以只能即興發揮了。,
wishy-washy,優柔寡斷；軟弱無力,Don't be so wishy-washy; pick a restaurant!,別這麼優柔寡斷，選一家餐廳吧！,
woke,覺醒 (對社會正義議題)；政治正確,Some people criticize the new movie for being too woke.,有些人批評這部新電影太過政治正確。,
workation,工作假期 (邊工作邊度假),I'm going on a workation to Bali next month.,下個月我要去峇里島邊工作邊度假。,
yes and no,既是也不是；不完全是,"Are you happy? ""Yes and no; I like the job but the commute is long.""",「你開心嗎？」「既是也不是；我喜歡這份工作但通勤時間太長。」,
yikes!,哎呀；糟糕 (表示震驚或擔憂),Yikes! Look at that price tag.,哎呀！看看那個價格標籤。,
yolo,(俚語) 活在當下 (You Only Live Once),I bought the expensive shoes. YOLO!,我買了那雙昂貴的鞋子。人生只有一次嘛！,
you can't go wrong with,選...準沒錯；...是安全牌,You can't go wrong with a classic black dress.,選經典的黑色洋裝準沒錯。,
you couldn't make it up,真讓人難以置信 (荒謬得像編的一樣),The train was cancelled because of 'strong sunshine'. You couldn't make it up!,火車因為「陽光太強」而取消，真讓人難以置信！,
you do you,做你自己 (隨你便),"I don't agree with your choice, but you do you.",我不認同你的選擇，但隨你便吧,做你自己高興的就好)。)
you shouldn't have,你太客氣了 (收禮時用),"Oh, flowers for me? You shouldn't have!",噢，送我的花？你太客氣了！,
zhuzh,(俚語) 稍微修飾；讓...更有型 (通常說 zhuzh up),Let me just zhuzh up the cushions before the guests arrive.,客人在來之前，讓我把靠墊稍微整理得更有型一點。,
zing,活力；刺激感,Adding some chili gives the dish a bit of zing.,加點辣椒讓這道菜多了一點刺激的風味。,
zip it!,閉嘴,Zip it! I don't want to hear any more excuses.,閉嘴！我不想再聽任何藉口。,
